,FTE,Facility_or_Department,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Position_Extra,Program_Description,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total
600,nan,nan,'NON-PROJECT',nan,"'Specialist III, PC App '",'CUSTOMER RELATIONS MANAGEMENT','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-OTHER','INFORMATION SYSTEMS SERVICES','GENERAL FUND',nan,'CENTRAL','ITEMGG-CUSTOMER RELATIONS MGMT','n/a',nan,1325.28936
601,0,nan,'INST STAFF TRAINING SVCS      ','GENERAL FUND                  ','SUB TEACHER ALL               ','School ',"""WORKERS' COMPENSATION         """,nan,'FDLRS                         ',nan,nan,'NATIONAL LITERACY PROJECT     ',nan,nan,nan,0.34
602,nan,'Transportation Department','Extracurricular Activities','General Operating Fund',"'TRANSPORTATION,BUS DR. SPEC.ED'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','BUS DRIVER','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','WAITING TIME',nan,nan,nan,7.7
603,nan,nan,'TEACHING FELLOWS',nan,'Project Manager ','TEACHER LEARNING & LEADERSHIP','EMPLOYEE BENEFITS','PROFESSIONAL-OTHER','SUPPORT SERVICES-INSTRUCTIONAL','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,1319.79
604,0,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ','CLERICAL/TCHR ASST SUB        ','School ','OTHER PERSONAL SERVICES       ',nan,nan,nan,nan,nan,nan,nan,nan,533.02
605,0.196746219,nan,'NON-PROJECT',nan,'Psychologist ',nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','PSYCHOLOGICAL SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,10891.22646
606,nan,nan,'NON-PROJECT',nan,"'Student Advisor, High Sch '",'ATHLETICS & STUDENT ACTIVITIES','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','MALE ATHLETICS/SPORTS ACTIVITI','PUPIL ACTIVITY FUND',nan,'COCURRICULAR ED/ACTIVITIES','ATHLETICS','n/a',nan,5258.83704
607,nan,nan,'SPECIAL ED. - SEVERE NEEDS',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-S/L','GENERAL FUND',nan,'SPECIAL EDUCATION','SEVERE DISABILITIES','n/a',nan,1092.30208
608,nan,nan,'ARRA EDUCATION STABILITAZION',nan,'ITEMGB Misc/TA ','OPPORTUNITY SCHOOL','EMPLOYEE BENEFITS','OFFICE/ADMINISTRATIVE SUPPORT','ITEMGB - INSTRUCTIONAL PROGRAM','ARRA - STIMULUS',nan,'INSTRUCTIONAL SUPPORT','ADULT VOC ED OPPORTUNITY','Alternative',nan,664.31
609,0.002155172,nan,'UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Super Sub Rtd D/D '",nan,'SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,91.62871635
610,1,'CURRICULUM AND INSTRUCTION',nan,'School Federal Projects','AVID COORDINATOR','District Wide Resources','Personal Services - Other Personnel','CONSULTANT  DAY','Support - Regular Instruction',nan,nan,'ESEA TITLE I DISADVANTAGED',nan,nan,'Title I - Other Salaries',87769.66
611,nan,'Campus Overtime','Instruction','General Operating Fund',nan,'Undistributed','Group Health And Life Insurance','TEACHER BACHELOR','Basic Educational Services','Operations','Group Health And Life Insurance','EMPLOYER MEDICAL FRINGE',nan,nan,'Basic Educational Services - District Objective ',329.71
612,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'","'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extended Day','EXTENDED DAYS',nan,nan,nan,105.4914911
613,0,nan,nan,'School Projects',nan,'District Wide Resources',"'Materials, Supplies, and Other'",nan,'Operations',nan,nan,'School Coupon Books',nan,'Employee Travel',nan,1634.94
614,nan,nan,'Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Other Awards and Prizes',nan,nan,'Support Services - Instructional Staff','Awards And Prizes *','AOB  YEAR ',nan,nan,nan,-58827.42
615,nan,nan,'IMPROVEMENT OF INSTR SERV','General Fund',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,45.37
616,0.98,'Security Department','Security And Monitoring Services','General Operating Fund','SECURITY OFFICER','Undistributed','Salaries Or Wages For Support Personnel','POLICE PATROL MAN','Undistributed','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,nan,40146.31489
617,0.04,'All Campus Payroll','Instruction','General Operating Fund','COMPUTER TECHNOLOGY SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','TEACHER MASTER','PRE-K','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,nan,2984.103036
618,0.47,nan,'GUIDANCE SERVICES             ','GENERAL FUND                  ','COUNSELOR-MIDDLE              ','School ','OTHER CERTIFIED               ',nan,nan,nan,nan,nan,nan,nan,nan,29314.29161
619,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'FACILITY-EMPAC MAINT MATERIALS','UNDESIGNATED','MAINTENANCE - STRUCTURAL','CAPITAL RESERVE FUND',nan,'OPERATION AND MAINT OF PLANT','MAINTENANCE','Regular',nan,1075.75
620,0,nan,nan,'General Purpose School','ATHLETIC SUPPLEMENT NCERT/NFAC',nan,'Personal Services - Teachers','CONT COACH N-FACULTY','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',6150.59
621,nan,nan,'NON-PROJECT',nan,'Community School Instructor ',nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-14.12
622,nan,'All Campus Payroll','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','CERTIFIED SUBSTITUTE','Bilingual Education And Special Language Programs','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,nan,98.56465198
623,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Education Assistants','SUBSTITUTE TEACHER','Instruction - Regular',nan,nan,nan,nan,nan,'Alternative Schools Instruction',400.3619443
624,1,nan,nan,nan,'ADMINISTRATIVE AIDE',nan,nan,nan,nan,'LOCAL',nan,nan,'SCHOOL ADMINISTRATIVE SUPPORT',nan,nan,52793.99239
625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6384.63
626,nan,nan,'School Leadership','General Operating Fund',nan,'School ','Insurance And Bonding Costs',nan,'Undistributed',nan,'Insurance And Bonding Costs',nan,nan,nan,'Undistributed',71.72
627,nan,nan,'TITLE VI-IDEA B-MAIN',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-S/L','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'n/a',nan,4163.57
628,0.025,nan,nan,nan,'Aide (Afterschool)','OFC COM & ED PROG-AFTER SCHOOL AIDES',nan,nan,nan,"'SUMMER ED, ARTS & SPORTS - SEAS'",nan,nan,'AFTERSCHOOL PROGRAMS',nan,nan,1010.499003
629,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'SEWER FEES','UNDESIGNATED','CARE & UPKEEP OF BLDG SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','OPERATIONS - UTILITIES','Regular',nan,10855.99
630,1,nan,nan,'General Purpose School',nan,nan,'Personal Services - Teachers','TEACHER','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',10127.6999
631,0.11,'Instruction And Curriculum',"'""Guidance, Counseling And Evaluation Services""'",'State Deaf Education',"'COUNSELOR, SPECIAL ED.'",'School ','Salaries And Wages For Teachers And Other Professi','SPECIAL EDUCATION COUNSELOR','Services To Students With Disabilities (Special Education)','State Deaf Education','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Regular Salary',7475.022677
632,nan,nan,'ELA S - TEACHING SPANISH ONLY',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,1010.23
633,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Substitute Teachers Certified','SUBSTITUTE TEACHER','Instruction - Regular',nan,nan,nan,nan,nan,'Alternative Schools Instruction',70.4899
634,nan,nan,'ALIGNING TEACHER PERFORMANCE',nan,"'Teacher, Site Coordinator '",'TEACHER EFFECTIVENESS','ADDITIONAL/EXTRA DUTY PAY/STIP','ADMINISTRATOR','STAFF SERVICES','DISTRICT SPECIAL REVENUE FUNDS',nan,'CENTRAL','TEACHER EFFECTIVENESS','n/a',nan,4975.33792
635,nan,nan,'District Administration Services*','General',nan,nan,'Non-Certificated Travel Reimbursement',nan,nan,'Support Services - Administration','Travel Mileage/Meeting Expense *','OPERATIONS',nan,nan,nan,1979.39
636,1,nan,nan,'General Fund','School Resource Officer',nan,nan,'RESOURCE OFFICER (NO SUB REQD) ','Misc',nan,nan,nan,nan,nan,nan,12962.44
637,nan,nan,'NON-PROJECT',nan,'Custodian - PT -  Jobs ',nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-10.61
638,0.2,nan,nan,'General Fund','School Social Worker',nan,nan,'SCHOOL SOCIAL WORKER ','Misc',nan,nan,nan,nan,nan,nan,78469.32
639,0,nan,nan,'School Federal Projects',nan,nan,'Personal Services - Other Personnel','Para Professional Social Worke','Support - Regular Instruction',nan,nan,'ESEA TITLE I DISADVANTAGED',nan,nan,'Title I - Supervisors',4182.551419
640,nan,nan,'Other Improvements Of Instruction Services *','Special Trust',nan,nan,'Other Objects',nan,nan,'Support Services - Instructional Staff','Other Objects','COMMUNITIES',nan,nan,nan,17700.4
641,0.004310345,nan,'TITLE II-PART A-TEACHER QUALIT',nan,"'Teacher, Super Sub D/D '",nan,'SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,165.9866984
642,nan,nan,'HEAD START',nan,'Project Coordinator ','EARLY CHILDHOOD EDUCATION','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-OTHER','SUPPORT SERVICES-INSTRUCTIONAL','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF','EARLY EDUCATION','n/a',nan,1410.47656
643,0.997661772,nan,'NON-PROJECT',nan,'Deputy General Counsel ','SCHOOL ATTORNEY','SALARIES OF REGULAR EMPLOYEES','ADMINISTRATOR','LEGAL SERVICES','GENERAL FUND',nan,'GENERAL ADMINISTRATION','LEGAL SERVICES','n/a',nan,120697.0674
644,nan,nan,'SUPPORT SERVICES-CENTRAL','General Fund',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,219.44
645,nan,nan,'IMPROVEMENT OF INSTR SERV','General Fund',nan,'ADMIN. SERVICES','SUPPLIES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,159.98
646,nan,nan,'EMPLOYEE RETIREMENT',nan,'Security Comm. Officer ','SAFETY AND SECURITY','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,310.16
647,nan,nan,'MAINTENANCE AND OPERATING','General Fund',nan,'ADMIN. SERVICES','REPAIR AND MAINTENANCE SERVICES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,118.12
648,0.17,'All Campus Payroll','School Leadership','General Operating Fund',"'CLERICAL, SCHOOL ADMIN.'",'School ','Salaries Or Wages For Support Personnel','SECRETARY','PRE-K','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,nan,3748.552943
649,0,nan,'PUPIL TRANSPORTATION SERVICES ','GENERAL FUND                  ','MECHANIC                      ','TRANSPORTATION                ','ALL OTHER SUPPLEMENTS         ',nan,nan,nan,nan,nan,nan,nan,nan,59.28
650,nan,nan,'NON-PROJECT',nan,'Bus Driver  to  Yrs ','GARAGE','PART TIME OVERTIME WAGES',"'CRAFTS, TRADES, AND SERVICES'",'TRANSPORTATION-OPERATIONS','GENERAL FUND',nan,'STUDENT TRANSPORTATION','TRANSPORTATION','n/a',nan,36.9536
651,nan,nan,'NON-PROJECT',nan,"'Principal, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','ADMINISTRATOR','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,928.47072
652,0.300007863,nan,'NON-PROJECT',nan,'Nurse ','SCHOOL NURSE SERVICES','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','NURSING SERVICES','GENERAL FUND',nan,'STUDENTS','SCHOOL NURSE SERVICES','n/a',nan,22250.01054
653,nan,nan,'WELLNESS COORDINATOR',nan,'(blank)','SCHOOL NURSE SERVICES','GENERAL SUPPLIES','UNDESIGNATED','OTHER GENERAL EDUCATION','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION','SCHOOL NURSE SERVICES','n/a',nan,431.95
654,nan,'All Campus Payroll','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','DEGREED SUBSTITUTE',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'State Ed. Allotment','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,nan,94.52798611
655,nan,nan,'NON-PROJECT',nan,"'Teacher, Elementary '",nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-162.41
656,nan,nan,"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'GROWTH                        ','PROFESSIONAL & TECH SVCS      ',nan,nan,nan,nan,'GROWTH                        ',nan,nan,nan,6074.98
657,0,'PSYCHOLOGICAL SERVICES',nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Other Compensation','Career Ladder II/Ext Learning',"""Principal's Office""",nan,nan,nan,nan,nan,'Other Student Support',2332.47
658,nan,nan,'SCHOOL NUTRITION','School Nutrition Service Fund',nan,nan,'PURCHASED FOOD',nan,'Misc','SCHOOL NUTRITION SERVICE',nan,nan,nan,nan,nan,10550.43
659,nan,nan,'NON-PROJECT',nan,'Route Scheduler II ','TRANSPORTATION','EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-OTHER','PUPIL TRANSPORTATION SERVICES','GENERAL FUND',nan,'STUDENT TRANSPORTATION',nan,'n/a',nan,503.84
660,nan,"'""Technology Department, Administration""'",'Instruction','General Operating Fund',nan,'School ','Contracted Maintenance And Repair',nan,'Basic Educational Services',nan,'Contracted Maintenance And Repair - Furniture And',nan,nan,nan,'Basic Educational Services - District Objective ',324.99
661,nan,nan,'TITLE I',nan,"'Teacher, Elementary '",nan,'EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','FEDERAL GDPG FUND - FY ',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,504.09
662,nan,nan,'EMPLOYEE RETIREMENT',nan,'Director ','SCHOOL CHOICE','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,907.18
663,nan,nan,'TITLE I',nan,'Library Media Center ',nan,'SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','GENERAL ELEMENTARY EDUCATION','FEDERAL GDPG FUND - FY ',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,484.33728
664,nan,nan,'NON-PROJECT',nan,"'Teacher, Elementary '",nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-397.48
665,nan,'Instruction And Curriculum','Curriculum Development And Instructional Staff Dev',"'""Title  Part A Improving Basic Programs""'",'TEACHER SUBSTITUTE POOL','Undistributed','Salaries And Wages For Substitute Professionals','CERTIFIED SUBSTITUTE','Accelerated Education',"'""Title  Part A Improving Basic Programs""'",'Extra Substitute Teachers Grant Funded','MISCELLANEOUS ',nan,nan,'Multilingual Dist Prof Development',91.33
666,nan,nan,'Disadvantaged Youth *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Regular *',nan,nan,'Special Instruction','Certificated Employees Salaries And Wages','TITLE I PUBLIC SALARIES',nan,nan,nan,-137507.58
667,nan,nan,'COMPUTERS FOR CHILDREN TECHNOL',nan,'Computer Lab Technician ',nan,'EMPLOYEE BENEFITS','PARAPROFESSIONAL','GENERAL MIDDLE/JUNIOR HIGH SCH','LEVY OVERRIDE',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,249.94
668,nan,nan,'Other Special *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Other General Supplies',nan,nan,'Special Instruction','General Supplies *','TITLE I ',nan,nan,nan,-1050.07
669,0,nan,'PUPIL TRANSPORTATION SERVICES ','GENERAL FUND                  ','BUS DRIVER                    ','TRANSPORTATION                ','WORKSHOP PARTICIPANT          ',nan,nan,nan,nan,nan,nan,nan,nan,14.086
670,nan,nan,'SPECIAL ED. - SEVERE NEEDS',nan,'Elementary Spec Ed Para ',nan,'EMPLOYEE BENEFITS','PARAPROFESSIONAL','SPECIAL EDUCATION','GENERAL FUND',nan,'SPECIAL EDUCATION','SEVERE DISABILITIES','Regular',nan,301.24
671,nan,'Performing Arts Department','Instruction','General Operating Fund',nan,'School ','General Supplies',nan,'Basic Educational Services',nan,'Performing Arts - Music',nan,"'""Performing Arts Department, E'",nan,'choir',0.06
672,nan,nan,'Other Community Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplies and Materials',nan,nan,'Community Services','Supplies And Materials',' TITLE I PI+HOMELESS',nan,nan,nan,1800.33
673,nan,nan,'TITLE I',nan,"'Specialist, Instructional '",'ES TEAM ','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-OTHER','ACADEMIC STUDENT ASSESSMENT','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF','GRANTS MANAGEMENT','n/a',nan,1730.27024
674,nan,nan,'SUPPORT SERVICES-CENTRAL','General Fund',nan,'ADMIN. SERVICES','OTHER PURCHASED SERVICES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,1.48
675,0,nan,'INSTRUCTIONAL MEDIA SERVICES  ','GENERAL FUND                  ','SUB TEACHER ALL               ','School ','OTHER PERSONAL SERVICES       ',nan,nan,nan,nan,nan,nan,nan,nan,65.91
676,0.928883921,nan,'ATTENDANCE AND SOCIAL WORK    ','GENERAL FUND                  ','SOCIAL WORKER                 ','STUDENT SERVICES              ','OTHER CERTIFIED               ',nan,nan,nan,nan,nan,nan,nan,nan,43654.57705
677,0.84,'Transportation Department','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Undistributed','Salaries Or Wages For Support Personnel','BUS DRIVER','Undistributed','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,'Transportation - Bus Drivers',16540.53816
678,nan,nan,'NON-PROJECT',nan,"'Teacher, Secondary (High) '",nan,'EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,504.46
679,nan,nan,'INSTRUCTION','Special Education',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,"'PRE-SCHOOL-REGULAR PROJECT, SPECIAL EDUCATION'",'TITLE VI-B SPECIAL ED PRE-SCHL INSTRUCT',nan,nan,nan,nan,nan,726.67
680,nan,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ','TUTOR                         ','School ','EXTRA DUTY PAY-INSTRUCTIONAL  ',nan,nan,nan,nan,'ALTERNATIVE DISCIPL',nan,nan,nan,4503.48
681,nan,'Instruction And Curriculum','Instruction','Title Iii Part A - Lep',"'TEACHER, REGULAR'",'Summer School','Salaries And Wages For Teachers And Other Professi','TEACHER MASTER','Bilingual Education And Special Language Programs','Title Iii Part A - Lep','Extended Year','EXTENDED YEAR',nan,nan,nan,1353.015038
682,1,nan,'EXCEPTIONAL                   ','GENERAL FUND                  ',"'TEACHER ASSISTANT, PK HDC     '",'School ','PARA PROFESSIONAL             ',nan,nan,nan,nan,nan,nan,nan,nan,23056.55109
683,nan,nan,'NON-PROJECT',nan,'(blank)','OPPORTUNITY SCHOOL','PROFESSIONAL-EDUCATIONAL SVCS','UNDESIGNATED','ITEMGB - APPRENTICESHIPS','ITEMGB - STATE GDPG FUND',nan,'EDUCATION FOR ADULTS','ADULT VOC ED OPPORTUNITY','Alternative',nan,556976.13
684,nan,nan,'INST & CURRICULUM DEV SVCS    ','FED THRU STATE-CASH ADVANCE   ','FAMILY/SCHOOL LIAISON         ','School ','FICA                          ',nan,nan,nan,nan,'TITLE I                       ',nan,nan,nan,-0.4
685,0,'SECURITY',nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Other Compensation','TIME CARD CLASSIFIED Addl','Support - Regular Instruction',nan,nan,nan,nan,nan,'Regular Instructional Support',1303.042307
686,nan,nan,'INSTRUCTION','General Fund',nan,nan,'DUES AND FEES',nan,'STAFF DEVELOPMENT','STAFF DEVELOPMENT',nan,nan,nan,nan,nan,-98.9
687,nan,nan,'COMMUNITY DEVELOPMENT BLOCK',nan,'(blank)',nan,'TRANSPORTATION/FIELD TRIPS','UNDESIGNATED','GENERAL MIDDLE/JUNIOR HIGH SCH','FEDERAL GDPG FUND - FY ',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,200.29
688,1,nan,nan,'General Fund','Clinic Assistant',nan,nan,'CLINIC ASSISTANT ','NURSES',nan,nan,nan,nan,nan,nan,34177.89646
689,1,nan,nan,'General Fund','Clinic Assistant',nan,nan,'CLINIC ASSISTANT ','NURSES',nan,nan,nan,nan,nan,nan,25867.7
690,nan,nan,'EXCEPTIONAL                   ','GENERAL FUND                  ','S/L PATHOLOGIST               ','School ','EXTRA DUTY PAY-INSTRUCTIONAL  ',nan,nan,nan,nan,'SATURDAY SCHOOL SAI           ',nan,nan,nan,55.6
691,nan,nan,'TEACHER INCENTIVE FUND (TIF)',nan,"'Teacher, Elementary '",'TEACHER LEARNING & LEADERSHIP','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','SUPPORT SERVICES-INSTRUCTIONAL','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF','TIF GRANT','n/a',nan,247.58
692,nan,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ','COUNSELOR-ELEM                ','School ','ALL OTHER SUPPLEMENTS         ',nan,nan,nan,nan,nan,nan,nan,nan,366.57
693,nan,nan,'ELA E-TEACHING SHELTERED ENG',nan,"'Teacher, Elementary '",nan,'EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,504.14
694,0.499986357,nan,'ARTS ED',nan,"'Specialist, Instructional '",'ES TEAM ','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-OTHER','INSTRUCTIONAL STAFF TRAINING',' MILL LEVY',nan,'INSTRUCTIONAL STAFF','INSTRUCTIONAL SUPPORT TEAMS','n/a',nan,43998.86052
